City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
64,Minab,IR,2022-01-30 19:34:30,27.1467,57.0801,62.92,88,0,0.0
65,Atasu,KZ,2022-01-30 19:34:30,48.6814,71.6433,14.13,95,100,9.26
66,Skibbereen,IE,2022-01-30 19:34:30,51.55,-9.2667,48.0,74,100,17.36
67,Lebu,CL,2022-01-30 19:34:30,-37.6167,-73.65,62.22,62,1,17.65
68,Bardiyah,LY,2022-01-30 19:34:31,31.7561,25.0865,56.8,74,97,30.91
69,Bud,US,2022-01-30 19:34:31,39.447,-86.1758,40.75,53,79,11.72
70,Barrow,US,2022-01-30 19:34:31,71.2906,-156.7887,-11.18,77,40,10.36
71,Saint-Pierre,RE,2022-01-30 19:34:32,-21.3393,55.4781,80.28,74,5,13.8
72,Padang,ID,2022-01-30 19:30:51,-0.9492,100.3543,73.45,90,100,3.11
73,Saint Marys,US,2022-01-30 19:31:00,30.7305,-81.5465,59.13,25,0,8.01
74,Khatanga,RU,2022-01-30 19:29:55,71.9667,102.5,-7.17,98,100,9.91
75,Antalaha,MG,2022-01-30 19:34:32,-14.9003,50.2788,75.88,88,19,7.78
76,Soyo,AO,2022-01-30 19:34:32,-6.1349,12.3689,79.27,86,100,7.23
77,Kodiak,US,2022-01-30 19:33:17,57.79,-152.4072,24.31,74,20,12.66
78,Ahipara,NZ,2022-01-30 19:34:33,-35.1667,173.1667,67.03,78,100,10.87
79,Mayo,US,2022-01-30 19:34:33,38.8876,-76.5119,33.57,42,0,1.01
80,Havelock,US,2022-01-30 19:34:33,34.8791,-76.9013,44.06,37,5,10.0
81,San Patricio,US,2022-01-30 19:34:33,28.017,-97.5169,73.49,48,14,12.41
82,Avarua,CK,2022-01-30 19:30:21,-21.2078,-159.775,71.65,94,75,18.41
83,Guerrero Negro,MX,2022-01-30 19:34:34,27.9769,-114.0611,64.87,55,98,14.83
84,Alofi,NU,2022-01-30 19:34:34,-19.0595,-169.9187,75.09,94,100,3.44
85,Syamzha,RU,2022-01-30 19:34:34,60.0158,41.0614,11.91,95,100,7.36
86,Mpika,ZM,2022-01-30 19:34:35,-11.8343,31.4529,60.46,99,100,2.59
87,Teahupoo,PF,2022-01-30 19:34:35,-17.8333,-149.2667,75.16,77,69,12.5
88,Tura,IN,2022-01-30 19:34:35,25.5198,90.2201,52.59,60,5,3.4
89,Santa Cruz De La Palma,ES,2022-01-30 19:34:35,28.6835,-17.7642,64.54,68,28,5.75
90,Ilulissat,GL,2022-01-30 19:35:18,69.2167,-51.1,8.62,66,75,18.41
91,San Miguel El Alto,MX,2022-01-30 19:35:36,21.0167,-102.35,75.34,17,0,12.86
92,Cherskiy,RU,2022-01-30 19:35:36,68.75,161.3,-26.0,98,100,3.22
93,Yellowknife,CA,2022-01-30 19:35:36,62.456,-114.3525,-12.48,77,100,6.91
94,Severo-Kurilsk,RU,2022-01-30 19:35:37,50.6789,156.125,26.37,92,100,13.2
95,Namatanai,PG,2022-01-30 19:31:50,-3.6667,152.4333,78.6,81,100,2.89
96,San Policarpo,PH,2022-01-30 19:35:37,12.1791,125.5072,78.42,83,11,2.77
97,Altay,CN,2022-01-30 19:35:37,47.8667,88.1167,3.36,54,25,7.67
98,Bredasdorp,ZA,2022-01-30 19:35:38,-34.5322,20.0403,70.92,78,100,10.36
