City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
107,Victoria,HK,22.2855,114.1577,58.24,77,97,1.99,overcast clouds
108,Faya,SA,18.3851,42.4509,59.11,89,25,8.21,scattered clouds
109,Georgetown,MY,5.4112,100.3354,79.9,92,40,1.99,scattered clouds
110,Sioux Lookout,CA,50.1001,-91.917,-0.02,60,0,5.75,clear sky
111,Sawtell,AU,-30.3833,153.1,62.62,82,100,16.11,overcast clouds
112,Kawalu,ID,-7.3817,108.2082,72.54,94,97,2.75,overcast clouds
113,Fallingbostel,DE,52.8667,9.7,38.39,96,100,14.23,light rain
114,Geraldton,AU,-28.7667,114.6,70.21,52,0,5.75,clear sky
115,Dikson,RU,73.5069,80.5464,-4.32,92,100,6.31,overcast clouds
116,Bonavista,CA,48.6499,-53.1147,30.11,94,100,22.59,snow
117,Pasni,PK,25.2631,63.471,69.76,55,0,10.58,clear sky
118,Bontang,ID,0.1333,117.5,75.83,86,98,5.57,overcast clouds
119,Kavaratti,IN,10.5669,72.642,78.71,62,100,9.6,overcast clouds
120,Kavieng,PG,-2.5744,150.7967,81.52,73,80,6.44,broken clouds
121,Santa Maria,BR,-29.6842,-53.8069,83.5,79,75,4.61,broken clouds
122,Snyder,US,32.7179,-100.9176,37.09,51,0,8.05,clear sky
123,Alofi,NU,-19.0595,-169.9187,78.69,78,100,8.05,overcast clouds
124,Bluff,NZ,-46.6,168.3333,52.81,61,86,6.55,overcast clouds
125,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,69,20,13.8,mist
126,Pisco,PE,-13.7,-76.2167,75.25,64,0,11.5,clear sky
127,Ha Giang,VN,22.8333,104.9833,56.44,88,100,0.76,overcast clouds
128,Longyearbyen,SJ,78.2186,15.6401,17.44,67,0,20.71,clear sky
129,Cape Town,ZA,-33.9258,18.4232,68.41,62,0,3.0,clear sky
130,Carballo,ES,43.213,-8.691,52.9,88,95,8.48,overcast clouds
131,Ugoofaaru,MV,5.6667,73.0,80.83,72,13,9.84,few clouds
132,Pau Brasil,BR,-15.4642,-39.6511,82.15,63,100,8.39,overcast clouds
133,Kasane,BW,-17.8167,25.15,66.58,94,88,3.78,light rain
134,Hasaki,JP,35.7333,140.8333,27.0,40,79,24.52,broken clouds
